CID,B1Card#,Description,Value
117,504348,ST2 ACTIVITY SUMM AMOUNTS DR,2-Aug
117,504348,ST2 ACTIVITY SUMM AMOUNTS DR,3-Sep
117,504349,ST2 ACTIVITY SUMM LITERALS CR,01-1-0-0-Securities Sold
117,504349,ST2 ACTIVITY SUMM LITERALS CR,02-1-0-0-Dividends/Interest
117,504349,ST2 ACTIVITY SUMM LITERALS CR,03-1-0-0-Funds Received/Other
117,504350,ST2 ACTIVITY SUMM LITERALS DR,01-1-0-0-Securities Bought
117,504350,ST2 ACTIVITY SUMM LITERALS DR,02-1-0-0-Dividends/Interest
117,504350,ST2 ACTIVITY SUMM LITERALS DR,03-1-0-0-Funds Issued/Other
117,504350,ST2 ACTIVITY SUMM LITERALS DR,04-1-0-0-Reinvested MMF
117,504351,ST2 SUPPRESS STMO STMT TYPE,- - -
117,504352,ST2 ACS PARTICIPANT CODE,
117,504353,ST2 ACS KEYLINE TRANSLATION,-
117,504354,ST2 PAYEE BATCH ENTRY CODES,-   - -
117,504356,ST2 CAPACITY CODE TRLR DESC,- -
117,504357,ST2 ELECTRONIC & PRINTED STMTS,
117,504358,ST2 MEMO POS CATEGORY,-  - -
117,504360,ST2 MKT VAL SUMM LITERALS MAP,01-1-0-0-Equities
117,504360,ST2 MKT VAL SUMM LITERALS MAP,02-1-0-0-Bonds
117,504360,ST2 MKT VAL SUMM LITERALS MAP,03-1-0-0-Options
117,504360,ST2 MKT VAL SUMM LITERALS MAP,04-1-0-0-Other
117,504361,ST2 ABS POSITION CTG HEADINGS,31-0-0-0-EQUITIES AND OPTIONS
117,504361,ST2 ABS POSITION CTG HEADINGS,32-0-0-0-MUNICIPAL BONDS
117,504361,ST2 ABS POSITION CTG HEADINGS,34-0-0-0-CORPORATE BONDS
117,504361,ST2 ABS POSITION CTG HEADINGS,35-0-0-0-GOVERNMENT BONDS
117,504361,ST2 ABS POSITION CTG HEADINGS,36-0-0-0-GOVERNMENT AGENCY
117,504361,ST2 ABS POSITION CTG HEADINGS,37-0-0-0-OTHER SECURITIES
117,504362,ST2 B228 EXTRACT - STMT TYPE,
117,504363,ST2 TLE FOOTNOTE *DISCONTINUED,-
117,504364,ST2 SSF DESCRIPTION ON B228,0
117,504365,ST2 B228 DEFEASE DESCRIPTION,0
117,504366,ST2 SHAC RATE,1
117,504367,ST2 DROP MATCHD CXL FROM B224,0
117,504368,ST2 KEEP MATCHD CXL ON B228,0
117,504369,ST2 CLEANSED DATA - BKPG,0
117,504370,ST2 CLEANSED DATA - W/I,0
117,504371,ST2 CLEANSED DATA - P&S SETTL,0
117,504372,ST2 CLEANSED DATA - P&S UNSTL,0
117,504373,ST2 CLEANSED DATA - BKPG KILL,0
117,504374,ST2 NA CLASS PRINT SUPPRESS,-
117,504375,ST2 ACCT VERIF INSTRUCTIONS,0-  -0
117,504376,ST2 RR PHONE DEFAULT,
117,504377,ST2 ABS PAGE1 DISCLAIMER,
117,504379,ST2 CATCG DEFAULT-MONEY POS,
117,504380,ST2 CATCG DEFAULT-MONEY NEG,
117,504381,ST2 CATCG DEFAULT-QTY POS,
117,504382,ST2 CATCG DEFAULT-QTY NEG,
117,504383,ST2 CATCG DEFAULT-CASH DIV,
117,504384,ST2 CATCG DEFAULT-OTHER,
117,504385,ST2 PRINT ALL CURR. BRANCHES,000-999
117,504386,ST2 FEE BUCKETS,0
117,504387,ST2 FEE BUCKET-COMMISSIONS,0
117,504388,ST2 FEE BUCKET-SEC FEE,0
117,504389,ST2 FEE BUCKET-POSTAGE,0
117,504390,ST2 FEE BUCKET-GPF1,0
117,504391,ST2 DVP SUPPRESS ACCT FILE,0
117,504392,ST2 POS ZERO MV BUCKETS,0
117,504393,ST2 DATE OF LAST STMT ON N&A,1
117,504394,ST2 TRID M/SPIN M ON B228,0
117,504395,ST2 SUBJ TO FED TAX POS DESC,0
117,504396,ST2 ALT MIN TAX TRAILER,
117,504397,ST2 CALL DATE DESCRIPTION,0
117,504398,ST2 MUNI BOND DESCRIPTION,0
117,504399,ST2 EXPIRATION DATE DESC,0
117,504400,ST2 WHEN ISSUE DESCRIPTION,0
117,504404,ST2 STOCK ASSET PLAN TYPE,
117,504405,ST2 STOCK ASSET NA CLASS CODE,
117,504406,ST2 MULTI CURRENCY TOP ACCT,0
117,504407,ST2 FORCE HH ACCTS ON B288,0
117,504408,ST2 INSUR CODE NONE SUPPRES,0
117,504409,ST2 SUPR MEMO POS ONLY ACCTS,0
117,504410,ST2 EXT ASSET ACTIVITY ON B228,0
117,504411,ST2 EXT ASSET POSITION ON B228,0-0-0-0-0-0
117,504412,ST2 IGNORE MTHLY & QTLY FREQ,0
117,504413,ST2 SEMI/ANNUAL STMT FREQ,0
117,504414,ST2 STEPPED DESCRIPTION OPTION,0
117,504420,ST2 BKP MERGE ACCT O-O-B MAX,00000
117,504421,ST2 BKP MERGE SUSP O-O-B MAX,00000
117,504422,ST2 MMF PRICED $1 SECURITY,
117,504423,ST2 PAYEE UMB EXPENSE CODE OPT,0
117,504424,ST2 PAYEE UMB ACCOUNT LOOKUP,0
117,504425,ST2 PAYEE EXPENSE CODE LENGTH,0
117,504426,ST2 PAYEE STATUS,0
117,504427,ST2 SUPPLIMENT RED DESC OPT,0
117,504428,ST2 APPLY MRGI RANGE PRICING,1
117,504429,ST2 CATEG SECURITY RANGE 2,-       - - - - -
117,504430,ST2 SUPPRESS IRA QTY TRAN TBL,
117,506061,ST7 STATUS,INACTIVE
117,506062,ST7 RANGE DISPLAY OPTIONS,-        - - - - - - -
117,506113,STV AV RETURN ADDRESS,-
117,506114,STV AV INCOME LEVEL,-
117,506115,STV AV NET WORTH,-
117,506116,STV AV LIQ NET WORTH,-
117,506117,STV AV INVESTMENT OBJ,-
117,506121,STV AV INV OBJ PRIORITY,-
117,506122,STV AV TIME HORIZON,-
117,506123,STV AV LIQUIDITY,-
117,506124,STV AV RISK TOLERANCE,-
